Temperature,Time
17.0,0
17.68,15
18.4175,30
19.14875,45
19.87375,60
20.5925,75
21.305,90
22.01125,105
22.71125,120
23.405,135
24.0925,150
24.77375,165
25.44875,180
26.1175,195
26.78,210
27.43625,225
28.08625,240
28.73,255
29.3675,270
29.99875,285
30.62375,300
31.2425,315
31.855,330
32.46125000000001,345
33.06125000000001,360
33.65500000000001,375
34.24250000000001,390
34.823750000000004,405
35.39875000000001,420
35.96750000000001,435
36.53000000000001,450
37.08625000000001,465
37.636250000000004,480
37.60323386942983,495
37.67648890227141,510
37.703377217549956,525
37.8424734241153,540
38.03503728761569,555
38.00590566586968,570
38.20324712598811,585
38.026901354252445,600
37.626901354252446,615
37.22690135425245,630
36.82690135425245,645
36.42690135425245,660
36.02690135425245,675
35.62690135425245,690
35.226901354252455,705
34.826901354252456,720
34.42690135425246,735
34.02690135425246,750
33.04600863772133,765
32.05208267569735,780
31.063525446009667,795
30.088191075948888,810
29.02423304327633,825
28.015203708869862,840
26.985443735462564,855
26.31010240698878,870
25.281296518631123,885
24.317889454311004,900
24.069487508350548,915
23.795458289323257,930
23.544819281703177,945
23.257209495883085,960
22.964552693730703,975
22.725744332358822,990
22.42445898605886,1005
22.12530872933535,1020
21.848464528905644,1035
21.55468050708589,1050
21.267448487250334,1065
21.046406254625175,1080
20.742750171412684,1095
20.51610722150152,1110
20.231403961947972,1125
19.984086684029144,1140
19.727577865187556,1155
19.512892431309524,1170
19.24476514542376,1185
18.989336942425755,1200
18.74633860065206,1215
18.53042077918342,1230
18.262972274184776,1245
17.993512004926234,1260
17.69239897692647,1275
17.48048659576114,1290
17.24643314870642,1305
16.951185422333264,1320
16.657020507354346,1335
16.434517896025035,1350
16.209607627171824,1365
15.946843262792738,1380
15.70512904753068,1395
15.472757457551145,1410
15.166668670658062,1425
